prefix,MA,Name,von,bis,dauer_min_str,auftrag_nummer,position_text,auaw1,auaw2,aw_ant_min_str,st_ant_pct_str,lstgrad,Anwes.,Produkt.,Pause,dauer_min,auaw_min,aw_ant_min,st_ant_pct
,,11:03               ,13:04               ,F,1:16                ,218996,"1,01 W  Wartung 36 Monate /45 .000 km",1:06                ,1:06                ,0:44                ,"150,0%              ",,,,,76,66.0,44.0,150.0
,,13:05               ,13:13               ,F,0:08                ,312803,"1,02 W  Vorführung zur Abgas-Untersuchung (AU)",0:24                ,0:24                ,0:08                ,"300,0%              ",4:03                ,2:16                ,AP,,8,24.0,8.0,300.0
,,13:13               ,13:23               ,F,0:10                ,31,"1,02 I  Diagnosefahrt",--                  ,,,,4:12                ,2:26                ,AP,,10,0.0,0.0,0.0
,,13:23               ,14:22               ,F,1:00                ,312803,"2,03 W  Jahren",0:48                ,0:48                ,0:40                ,"120,0%              ",,,,,60,48.0,40.0,120.0
,,14:24               ,14:42               ,F,0:18                ,31,"1,02 I  Diagnosefahrt",--                  ,,,,5:32                ,3:44                ,AP,,18,0.0,0.0,0.0
,,14:44               ,14:56               ,F,0:13                ,312302,"1,06 G  EINGRIFF PRAEVENTIVMASSNAHME 1 AM",0:24                ,0:01                ,0:38                ,"2,6%                ",,,,,13,24.0,38.0,2.6
,,14:57               ,15:27               ,F,0:30                ,312898,"1,02 W  ersetzen vorne links",0:30                ,0:30                ,0:30                ,"100,0%              ",6:17                ,4:27                ,AP,,30,30.0,30.0,100.0
,,15:27               ,16:02               ,F,0:34                ,31,"1,02 I  Diagnosefahrt",--                  ,,,,6:52                ,5:01                ,AP,,34,0.0,0.0,0.0
,,16:02               ,16:33               ,F,0:31                ,312302,"1,06 G  EINGRIFF PRAEVENTIVMASSNAHME 1 AM",0:24                ,0:00                ,0:00                ,--                  ,,,,,31,24.0,0.0,0.0
,,16:33               ,16:50               ,F,0:17                ,31,"9,02 I  Berger Sascha",--                  ,,,,7:40                ,5:49                ,AP,,17,0.0,0.0,0.0
,,08:30               ,09:34               ,F,1:04                ,218956,"1,03 W  Inspektion nach 30.000 km",1:24                ,0:40                ,0:43                ,"93,0%               ",,,,,64,84.0,43.0,93.0
,,09:34               ,09:45               ,F,0:11                ,37004,"1,04 W  NACH 50 BIS 100 KM NACHZIEHEN LASSEN",0:30                ,0:30                ,0:09                ,"333,3%              ",,,,,11,30.0,9.0,333.3
,,09:45               ,10:56               ,F,1:11                ,218956,"1,03 W  Inspektion nach 30.000 km",1:24                ,0:44                ,0:48                ,"91,7%               ",,,,,71,84.0,48.0,91.7
,,10:57               ,13:00               ,F,1:18                ,218890,"1,02 I  bestellten Kühlwasserschlauch einbauen",1:00                ,1:00                ,1:18                ,"76,9%               ",4:12                ,4:10                ,AP,,78,60.0,78.0,76.9
,,13:00               ,13:28               ,F,0:28                ,37005,"1,04 W  NACH 50 BIS 100 KM NACHZIEHEN LASSEN",0:30                ,0:30                ,0:23                ,"130,4%              ",,,,,28,30.0,23.0,130.4
,,13:28               ,15:29               ,F,2:01                ,36719,"1,01 W  Überprüfung auf Nacharbeiten / Kampagnen",--                  ,,,,,,,,121,0.0,0.0,0.0
,,15:30               ,16:56               ,F,1:26                ,37084,"1,02 I  NACH 50 KM NACHZIEHEN LASSEN",0:30                ,0:22                ,0:43                ,"51,2%               ",,,,,86,30.0,43.0,51.2
,,07:53               ,09:31               ,F,1:38                ,218877,"1,01 I  Vormontage 4 Räder",0:54                ,0:54                ,0:58                ,"93,1%               ",,,,,98,54.0,58.0,93.1
,,09:31               ,10:46               ,F,1:14                ,36704,"1,01 W  Überprüfung auf Nacharbeiten / Kampagnen",--                  ,,,,,,,,74,0.0,0.0,0.0
,,10:47               ,13:13               ,F,1:40                ,36840,"1,04 W  Inspektion, Zeitpunkt nach 8 Jahren",1:12                ,1:12                ,1:56                ,"62,1%               ",,,,,100,72.0,116.0,62.1
,,13:14               ,13:41               ,F,0:27                ,218879,"1,04 I  NACH 50 BIS 100 KM NACHZIEHEN LASSEN",0:30                ,0:30                ,0:22                ,"136,4%              ",,,,,27,30.0,22.0,136.4
,,14:08               ,14:14               ,F,0:06                ,37208,"1,01 W  Schalthebel ersetzen",0:54                ,0:54                ,0:06                ,"900,0%              ",5:36                ,5:33                ,AP,,6,54.0,6.0,900.0
,,15:06               ,16:45               ,F,1:39                ,37080,"1,04 W  SYSTEMATISCHE WARTUNGSARBEITEN",1:00                ,0:27                ,0:32                ,"84,4%               ",,,,,99,60.0,32.0,84.4
,,07:50               ,08:17               ,F,0:26                ,300014,"5,01 I  E-TAC-ANFRAGEN",--                  ,,,,0:26                ,0:26                ,,,26,0.0,0.0,0.0
,,08:17               ,08:28               ,F,0:10                ,312101,"3,03 I  Getriebe a+e für Reparatur",4:48                ,0:05                ,0:10                ,"50,0%               ",0:37                ,0:37                ,,,10,288.0,10.0,50.0
,,09:51               ,11:46               ,F,1:54                ,312101,"2,04 I  Hydraulikaggregat ers",10:06               ,0:34                ,1:54                ,"29,8%               ",3:55                ,3:54                ,,,114,606.0,114.0,29.8
,,11:46               ,12:46               ,F,0:15                ,312907,"1,03 W  Kupplung - Diagnose",0:24                ,0:09                ,0:15                ,"60,0%               ",4:11                ,4:09                ,AP,,15,24.0,15.0,60.0
,,12:46               ,15:15               ,F,2:29                ,300014,"5,01 I  E-TAC-ANFRAGEN",--                  ,,,,6:40                ,6:38                ,AP,,149,0.0,0.0,0.0
,,15:16               ,16:45               ,F,1:29                ,312101,"2,04 I  Hydraulikaggregat ers",10:06               ,0:27                ,1:29                ,"30,3%               ",8:09                ,8:08                ,AP,,89,606.0,89.0,30.3
,,08:10               ,08:29               ,F,0:20                ,218969,"1,04 W  DIAGNOSEWERKZEUGBETRIEB",1:12                ,0:19                ,0:20                ,"95,0%               ",0:20                ,0:20                ,,,20,72.0,20.0,95.0
,,08:30               ,09:21               ,F,0:51                ,31,"2,01 I  Dederer Andreas",--                  ,,,,1:11                ,1:11                ,,,51,0.0,0.0,0.0
,,09:22               ,10:18               ,F,0:56                ,218969,"1,04 W  DIAGNOSEWERKZEUGBETRIEB",1:12                ,0:53                ,0:56                ,"94,6%               ",2:09                ,2:07                ,,,56,72.0,56.0,94.6
,,10:18               ,11:41               ,F,1:23                ,37133,"1,01 G",--                  ,,,,,,,,83,0.0,0.0,0.0
,,11:42               ,11:55               ,F,0:13                ,37234,"1,07 I  intern",0:36                ,0:36                ,0:13                ,"276,9%              ",3:46                ,3:43                ,,,13,36.0,13.0,276.9
,,11:55               ,14:16               ,F,1:36                ,218891,"1,03 W  Inspektion nach 2 Jahren",1:42                ,1:42                ,1:36                ,"106,3%              ",5:22                ,5:20                ,AP,,96,102.0,96.0,106.3
,,14:16               ,15:29               ,F,1:12                ,37134,"1,04 W  FEHLERSUCHE DIAGNOSE - 15",0:48                ,0:20                ,0:34                ,"58,8%               ",,,,,72,48.0,34.0,58.8
,,15:29               ,15:34               ,F,0:05                ,37146,"1,06 G  Piktogramm Ladeanschlussgehäuse",0:06                ,0:03                ,0:30                ,"10,0%               ",6:39                ,6:37                ,AP,,5,6.0,30.0,10.0
,,15:34               ,16:06               ,F,0:32                ,37146,"1,06 G  Piktogramm Ladeanschlussgehäuse",0:06                ,0:03                ,0:32                ,"9,4%                ",,,,,32,6.0,32.0,9.4
,,16:06               ,16:12               ,F,0:06                ,37148,"4,03 W  Diagnose-Batterie",1:00                ,0:13                ,0:06                ,"216,7%              ",7:18                ,7:15                ,AP,,6,60.0,6.0,216.7
,,16:13               ,16:57               ,F,0:44                ,37148,"3,03 W  Diagnose-Geräusch und beseitigen",2:06                ,0:32                ,0:44                ,"72,7%               ",8:03                ,7:59                ,AP,,44,126.0,44.0,72.7
,,07:55               ,08:40               ,F,0:45                ,36220,"7,02 W  NEBENAGGREGATE WARTUNG",0:12                ,0:03                ,0:04                ,"75,0%               ",,,,,45,12.0,4.0,75.0
,,08:40               ,09:57               ,F,1:17                ,36773,"1,01 W  SYSTEMATISCHE WARTUNGSARBEITEN",1:00                ,1:00                ,0:48                ,"125,0%              ",,,,,77,60.0,48.0,125.0
,,09:57               ,10:47               ,F,0:50                ,34175,"1,01 W  Inspektion, Zeitpunkt nach 5 Jahren",0:48                ,0:48                ,0:40                ,"120,0%              ",,,,,50,48.0,40.0,120.0
,,10:47               ,11:35               ,F,0:48                ,218583,"1,01 W  Inspektion nach 3 Jahren",0:54                ,0:54                ,0:24                ,"225,0%              ",,,,,48,54.0,24.0,225.0
,,11:35               ,13:29               ,F,1:08                ,35712,"1,02 W  Vorführung zur Abgas-Untersuchung (AU)",0:24                ,0:24                ,1:08                ,"35,3%               ",4:49                ,4:48                ,AP,,68,24.0,68.0,35.3
,,13:29               ,13:56               ,F,0:28                ,35595,"1,05 G  Austausch der Buchse des unteren Quer-",0:54                ,0:54                ,2:20                ,"38,6%               ",5:17                ,5:16                ,AP,,28,54.0,140.0,38.6
,,13:56               ,15:09               ,F,1:13                ,218882,"1,01 I  Vormontage 4 Räder intern",0:54                ,0:54                ,1:13                ,"74,0%               ",6:30                ,6:28                ,AP,,73,54.0,73.0,74.0
,,15:38               ,16:16               ,F,0:38                ,37101,"1,01 I  107 Punkte Check Verbrenner/ PHEV",0:30                ,0:12                ,0:19                ,"63,2%               ",,,,,38,30.0,19.0,63.2
,,16:16               ,16:50               ,F,0:34                ,31,"3,01 I  Ebner Patrick",--                  ,,,,8:11                ,8:08                ,AP,,34,0.0,0.0,0.0
,,08:07               ,08:19               ,F,0:12                ,312819,"1,02 W  SYSTEMATISCHE WARTUNGSARBEITEN Jahr 1",1:00                ,0:14                ,0:11                ,"127,3%              ",,,,,12,60.0,11.0,127.3
,,08:19               ,08:25               ,F,0:06                ,312901,"1,01 W  Lichttest ohne Berechnung",0:12                ,0:12                ,0:04                ,"300,0%              ",,,,,6,12.0,4.0,300.0
,,08:26               ,09:06               ,F,0:41                ,312819,"1,02 W  SYSTEMATISCHE WARTUNGSARBEITEN Jahr 1",1:00                ,0:46                ,0:37                ,"124,3%              ",,,,,41,60.0,37.0,124.3
,,10:55               ,11:27               ,F,0:32                ,312877,"3,03 I  Jahren",0:54                ,0:18                ,0:32                ,"56,3%               ",3:25                ,3:05                ,,,32,54.0,32.0,56.3
,,11:27               ,11:45               ,F,0:17                ,31,"1,02 I  Diagnosefahrt",--                  ,,,,3:43                ,3:23                ,,,17,0.0,0.0,0.0
,,13:22               ,14:11               ,F,0:48                ,312896,"1,04 W  Diagnose/Schaden feststellen",0:48                ,0:12                ,0:48                ,"25,0%               ",5:24                ,4:45                ,AP,,48,48.0,48.0,25.0
,,14:11               ,14:29               ,F,0:18                ,312885,"1,04 W  ersetzen hinten rechts",0:30                ,0:30                ,0:15                ,"200,0%              ",,,,,18,30.0,15.0,200.0
,,14:29               ,14:44               ,F,0:15                ,31,"1,02 I  Diagnosefahrt",--                  ,,,,5:57                ,5:18                ,AP,,15,0.0,0.0,0.0
,,14:45               ,15:00               ,F,0:15                ,312896,"1,04 W  Diagnose/Schaden feststellen",0:48                ,0:04                ,0:15                ,"26,7%               ",6:13                ,5:33                ,AP,,15,48.0,15.0,26.7
,,15:00               ,15:14               ,F,0:14                ,312895,"1,06 W  Sensor h l innen ers",0:24                ,0:05                ,0:11                ,"45,5%               ",,,,,14,24.0,11.0,45.5
,,15:14               ,15:50               ,F,0:35                ,31,"1,02 I  Diagnosefahrt",--                  ,,,,7:03                ,6:23                ,AP,,35,0.0,0.0,0.0
,,15:50               ,16:22               ,F,0:32                ,31,"9,02 I  Berger Sascha",--                  ,,,,7:35                ,6:55                ,AP,,32,0.0,0.0,0.0
,,16:22               ,16:40               ,F,0:18                ,312906,"1,03 W  Kühlsystem - Lecksuche",0:30                ,0:01                ,0:03                ,"33,3%               ",,,,,18,30.0,3.0,33.3
,,10:15               ,11:15               ,F,1:00                ,37007,"1,03 W  Vormontage 4 Räder",0:54                ,0:54                ,1:00                ,"90,0%               ",3:18                ,3:11                ,,,60,54.0,60.0,90.0
,,11:16               ,11:20               ,F,0:05                ,36375,"1,01 W  Vormontage 4 Räder",0:54                ,0:03                ,0:03                ,"100,0%              ",,,,,5,54.0,3.0,100.0
,,11:20               ,12:56               ,F,0:51                ,37239,"1,01 W  Inspektion, Zeitpunkt nach 6 Jahren",1:00                ,1:00                ,0:30                ,"200,0%              ",,,,,51,60.0,30.0,200.0
,,07:45               ,09:52               ,F,2:07                ,37080,"1,04 W  SYSTEMATISCHE WARTUNGSARBEITEN",1:00                ,0:33                ,0:39                ,"84,6%               ",,,,,127,60.0,39.0,84.6
,,09:52               ,10:56               ,F,1:04                ,218599,"1,03 W  Inspektion nach 2 Jahren ohne SWS auff.",1:36                ,1:36                ,1:00                ,"160,0%              ",,,,,64,96.0,60.0,160.0
,,10:56               ,11:50               ,F,0:54                ,218824,"1,01 W  Inspektion nach 70.000 km",1:00                ,1:00                ,0:54                ,"111,1%              ",4:05                ,4:05                ,,,54,60.0,54.0,111.1
,,12:43               ,14:01               ,F,1:17                ,218881,"1,01 I  Vormontage 4 Räder intern",0:54                ,0:54                ,1:18                ,"69,2%               ",5:32                ,5:22                ,AP,,77,54.0,78.0,69.2
,,14:06               ,15:09               ,F,1:03                ,218948,"1,02 W  NACH 50 BIS 100 KM NACHZIEHEN LASSEN",0:30                ,0:25                ,0:52                ,"48,1%               ",,,,,63,30.0,52.0,48.1
,,15:09               ,15:35               ,F,0:26                ,219032,"1,04 G  GDS-Grundprüfung: Keine",0:06                ,0:06                ,0:04                ,"150,0%              ",,,,,26,6.0,4.0,150.0
,,13:35               ,14:18               ,F,0:43                ,36930,"1,04 W  NACH 50 BIS 100 KM NACHZIEHEN LASSEN",0:30                ,0:30                ,0:36                ,"83,3%               ",,,,,43,30.0,36.0,83.3
,,14:19               ,16:47               ,F,2:29                ,36976,"1,01 W  Vormontage 4 Räder",0:54                ,0:54                ,1:29                ,"60,7%               ",,,,,149,54.0,89.0,60.7
,,07:52               ,08:08               ,F,0:16                ,300014,"5,01 I  E-TAC-ANFRAGEN",--                  ,,,,0:16                ,0:16                ,,,16,0.0,0.0,0.0
,,08:08               ,10:59               ,F,2:50                ,312101,"2,04 I  Hydraulikaggregat ers",10:06               ,0:51                ,2:50                ,"30,0%               ",3:07                ,3:07                ,,,170,606.0,170.0,30.0
,,10:59               ,13:54               ,F,2:10                ,312737,"1,04 W  Schweller-Verkleidung l ers",0:42                ,0:12                ,0:12                ,"100,0%              ",,,,,130,42.0,12.0,100.0
,,13:54               ,15:36               ,F,1:42                ,312633,"1,05 G  EINGRIFF PRAEVENTIVMASSNAHME 1 AM",0:54                ,0:54                ,1:42                ,"52,9%               ",6:59                ,6:59                ,AP,,102,54.0,102.0,52.9
,,15:36               ,16:07               ,F,0:31                ,312917,"1,06 W  Diagnosezeit",0:36                ,0:36                ,0:31                ,"116,1%              ",7:30                ,7:29                ,AP,,31,36.0,31.0,116.1
,,16:07               ,16:45               ,F,0:37                ,31,"1,02 I  Diagnosefahrt",--                  ,,,,8:08                ,8:07                ,AP,,37,0.0,0.0,0.0
,,07:59               ,09:10               ,F,1:11                ,218805,"1,04 W",0:48                ,0:35                ,1:11                ,"49,3%               ",1:12                ,1:11                ,,,71,48.0,71.0,49.3
,,09:10               ,09:55               ,F,0:44                ,37133,"1,01 G",--                  ,,,,,,,,44,0.0,0.0,0.0
,,09:55               ,11:46               ,F,1:51                ,37148,"3,03 W  Diagnose-Geräusch und beseitigen",2:06                ,1:19                ,1:51                ,"71,2%               ",3:47                ,3:46                ,,,111,126.0,111.0,71.2
,,11:46               ,13:30               ,F,1:00                ,37246,"1,03 W  Diagnose",1:30                ,1:30                ,1:00                ,"150,0%              ",4:47                ,4:46                ,AP,,60,90.0,60.0,150.0
,,13:31               ,13:40               ,F,0:09                ,37252,"1,05 W  Diagnoseblatt erforderlich",0:12                ,0:12                ,0:09                ,"133,3%              ",4:56                ,4:55                ,AP,,9,12.0,9.0,133.3
,,13:41               ,14:09               ,F,0:28                ,31,"2,01 I  Dederer Andreas",--                  ,,,,5:25                ,5:23                ,AP,,28,0.0,0.0,0.0
,,14:10               ,14:43               ,F,0:32                ,37088,"1,04 G  ECM-Programmierung",0:24                ,0:24                ,0:32                ,"75,0%               ",5:59                ,5:55                ,AP,,32,24.0,32.0,75.0
,,14:44               ,15:56               ,F,1:13                ,37301,"1,04 I  FEHLERSUCHE DIAGNOSE - 10",1:00                ,1:00                ,1:13                ,"82,2%               ",,,,,73,60.0,73.0,82.2
,,08:46               ,09:34               ,F,0:48                ,219090,"1,04 G  GDS-Grundprüfung: Keine",0:06                ,0:02                ,0:05                ,"40,0%               ",,,,,48,6.0,5.0,40.0
,,11:14               ,14:19               ,F,2:20                ,36675,"2,02 W  Diagnose",0:24                ,0:24                ,2:20                ,"17,1%               ",4:53                ,4:48                ,AP,,140,24.0,140.0,17.1
,,14:19               ,14:42               ,F,0:23                ,36675,"1,05 W  NACH 50 BIS 100 KM NACHZIEHEN LASSEN",0:30                ,0:30                ,0:19                ,"157,9%              ",,,,,23,30.0,19.0,157.9
,,08:07               ,10:40               ,F,2:33                ,218590,"1,01 W  Inspektion nach 3 Jahren",1:06                ,1:06                ,1:02                ,"106,5%              ",,,,,153,66.0,62.0,106.5
,,10:40               ,11:41               ,F,1:01                ,36498,"1,03 W  Fahrzeug Oberwäsche",0:06                ,0:06                ,0:05                ,"120,0%              ",,,,,61,6.0,5.0,120.0
,,11:41               ,13:24               ,F,0:58                ,37293,"1,02 W  Windschutzscheibe ersetzen",0:30                ,0:30                ,0:58                ,"51,7%               ",4:37                ,4:32                ,AP,,58,30.0,58.0,51.7
,,13:24               ,14:43               ,F,1:19                ,218087,"1,03 W  Inspektion nach 2 Jahren ohne SWS auff.",1:42                ,1:42                ,1:15                ,"136,0%              ",,,,,79,102.0,75.0,136.0
,,14:44               ,15:00               ,F,0:16                ,218088,"1,04 G  ECU-Update",0:18                ,0:18                ,0:16                ,"112,5%              ",6:13                ,6:07                ,AP,,16,18.0,16.0,112.5
,,15:00               ,16:54               ,F,1:54                ,219096,"1,02 I  NACH 50 KM NACHZIEHEN LASSEN",0:30                ,0:30                ,0:57                ,"52,6%               ",,,,,114,30.0,57.0,52.6
,,13:37               ,14:20               ,F,0:43                ,37044,"1,01 W  Vormontage 4 Räder",0:54                ,0:38                ,0:43                ,"88,4%               ",5:42                ,5:42                ,AP,,43,54.0,43.0,88.4
,,08:11               ,09:03               ,F,0:53                ,312665,"1,03 W  Jahren",1:00                ,1:00                ,0:38                ,"157,9%              ",,,,,53,60.0,38.0,157.9
,,09:04               ,09:15               ,F,0:11                ,31,"9,05 I  Stabel Viktor",--                  ,,,,1:09                ,1:04                ,,,11,0.0,0.0,0.0
,,09:15               ,09:37               ,F,0:22                ,312865,"1,04 W  NACH 50 BIS 100 KM NACHZIEHEN LASSEN",0:30                ,0:30                ,0:18                ,"166,7%              ",,,,,22,30.0,18.0,166.7
,,09:54               ,11:03               ,F,1:09                ,312693,"1,03 W  Jahren",1:00                ,1:00                ,0:28                ,"214,3%              ",,,,,69,60.0,28.0,214.3
,,11:33               ,13:33               ,F,1:15                ,219042,"1,04 W  DIAGNOSE / FC auselsen u löschen",0:18                ,0:07                ,0:08                ,"87,5%               ",,,,,75,18.0,8.0,87.5
,,13:33               ,15:37               ,F,2:04                ,219043,"1,03 W  Frontscheibe ers",2:30                ,2:30                ,1:55                ,"130,4%              ",,,,,124,150.0,115.0,130.4
,,15:38               ,16:45               ,F,1:07                ,312907,"1,03 W  Kupplung - Diagnose",0:24                ,0:06                ,0:11                ,"54,5%               ",,,,,67,24.0,11.0,54.5
,,08:09               ,10:16               ,F,2:08                ,312906,"1,03 W  Kühlsystem - Lecksuche",0:30                ,0:06                ,0:23                ,"26,1%               ",,,,,128,30.0,23.0,26.1
,,11:14               ,12:59               ,F,1:00                ,312906,"1,03 W  Kühlsystem - Lecksuche",0:30                ,0:03                ,0:12                ,"25,0%               ",,,,,60,30.0,12.0,25.0
,,12:59               ,13:16               ,F,0:17                ,31,"1,02 I  Diagnosefahrt",--                  ,,,,4:27                ,4:21                ,AP,,17,0.0,0.0,0.0
,,13:16               ,14:10               ,F,0:55                ,312868,"1,03 W  Jahren",1:00                ,1:00                ,0:31                ,"193,5%              ",,,,,55,60.0,31.0,193.5
,,14:10               ,14:24               ,F,0:14                ,31,"1,02 I  Diagnosefahrt",--                  ,,,,5:36                ,5:29                ,AP,,14,0.0,0.0,0.0
,,16:17               ,16:56               ,F,0:39                ,31,"1,02 I  Diagnosefahrt",--                  ,,,,8:07                ,8:01                ,AP,,39,0.0,0.0,0.0
,,08:29               ,08:58               ,F,0:30                ,37084,"1,02 I  NACH 50 KM NACHZIEHEN LASSEN",0:30                ,0:08                ,0:15                ,"53,3%               ",,,,,30,30.0,15.0,53.3
,,08:58               ,11:09               ,F,2:11                ,218403,"1,02 W  (mit Wärmepumpe)",1:30                ,1:30                ,1:22                ,"109,8%              ",,,,,131,90.0,82.0,109.8
,,11:09               ,14:27               ,F,2:33                ,36252,"1,01 W  Überprüfung auf Nacharbeiten / Kampagnen",--                  ,,,,,,,,153,0.0,0.0,0.0
,,14:27               ,15:44               ,F,1:17                ,218656,"1,01 W  Inspektion nach 4 Jahren",2:12                ,2:12                ,1:14                ,"178,4%              ",,,,,77,132.0,74.0,178.4
,,15:44               ,16:24               ,F,0:40                ,218655,"1,04 G  ECU-Update",0:18                ,0:18                ,0:40                ,"45,0%               ",7:34                ,7:33                ,AP,,40,18.0,40.0,45.0
,,07:49               ,08:23               ,F,0:34                ,36991,"1,01 I  92 Punkte Check EV Opel",0:30                ,0:30                ,0:34                ,"88,2%               ",0:34                ,0:34                ,,,34,30.0,34.0,88.2
,,08:24               ,09:46               ,F,1:21                ,35721,"1,04 W  NACH 50 BIS 100 KM NACHZIEHEN LASSEN",0:30                ,0:30                ,0:24                ,"125,0%              ",,,,,81,30.0,24.0,125.0
,,09:46               ,11:05               ,F,1:19                ,35917,"1,02 W  SYSTEMATISCHE WARTUNGSARBEITEN",1:00                ,1:00                ,0:45                ,"133,3%              ",,,,,79,60.0,45.0,133.3
,,11:05               ,13:30               ,F,1:39                ,218276,"1,03 W  Inspektion nach 6 Jahren",1:42                ,1:42                ,1:32                ,"110,9%              ",,,,,99,102.0,92.0,110.9
,,13:33               ,13:57               ,F,0:24                ,219024,"1,02 W  NACH 50 BIS 100 KM NACHZIEHEN LASSEN",0:30                ,0:30                ,0:20                ,"150,0%              ",,,,,24,30.0,20.0,150.0
,,13:57               ,14:26               ,F,0:29                ,218961,"1,02 W  NACH 50 BIS 100 KM NACHZIEHEN LASSEN",0:30                ,0:30                ,0:24                ,"125,0%              ",,,,,29,30.0,24.0,125.0
,,16:05               ,16:41               ,F,0:36                ,37231,"1,02 I  NACH 50 KM NACHZIEHEN LASSEN",0:30                ,0:30                ,0:36                ,"83,3%               ",8:08                ,8:01                ,AP,,36,30.0,36.0,83.3
