Kontonr EIGEN;Kontobezeichnung (rein informativ!) EIGEN;Kontonr ALTERNATIV;Kontobezeichnung ALTERNATIV;
160201;Spardepot 2006-MWST-pflichtig;-;-;
160202;Spardepot 2006-MWST-pflichtig;-;-;
160301;Spardepot 2007-MWST-pflichtig;-;-;
160302;Spardepot 2007-MWST-pflichtig;-;-;
160401;Spardepot 2008-MWST-pflichtig;-;-;
160402;Spardepot 2008-MWST-pflichtig;-;-;
160501;Spardepot 2009-MWST-pflichtig;-;-;
160502;Spardepot 2009-MWST-pflichtig;-;-;
160601;Spardepot 2010-MWST-pflichtig;-;-;
160602;Spardepot 2010-MWST-pflichtig;-;-;
160701;Spardepot 2011-MWST-pflichtig;-;-;
160702;Spardepot 2011-MWST-pflichtig;-;-;
160801;Spardepot 2012-MWST-pflichtig;-;-;
160802;Spardepot 2012-MWST-pflichtig;-;-;
160901;Spardepot 2013-MWST-pflichtig;-;-;
160902;Spardepot 2013-MWST-pflichtig;-;-;
161001;Spardepot 2014-MWST-pflichtig;-;-;
161002;Spardepot 2014-MWST-pflichtig;-;-;
161051;Spardepot 2015-MWST-pflichtig;-;-;
161052;Spardepot 2015-MWST-pflichtig;-;-;
161101;Spardepot 2016-MWST-pflichtig;-;-;
161102;Spardepot 2016-MWST-pflichtig;-;-;
161151;Spardepot 2017-MWST-pflichtig;-;-;
161152;Spardepot 2017-MWST-pflichtig;-;-;
161201;Spardepot 2018-MWST-pflichtig;-;-;
161202;Spardepot 2018-MWST-pflichtig;-;-;
161251;Spardepot 2019-MWST-pflichtig;-;-;
161252;Spardepot 2019-MWST-pflichtig;-;-;
161301;Spardepot 2020-MWST-pflichtig;-;-;
161302;Spardepot 2020-MWST-pflichtig;-;-;
161351;Spardepot 2021-MWST-pflichtig;-;-;
161352;Spardepot 2021-MWST-pflichtig;-;-;
161401;Spardepot 2022-MWST-pflichtig;-;-;
161402;Spardepot 2022-MWST-pflichtig;-;-;
161451;Spardepot 2023-MWST-pflichtig;-;-;
161452;Spardepot 2023-MWST-pflichtig;-;-;
161601;Filialverrechnung;-;-;
161602;Filialverrechnung;-;-;
166001;Verbindlichkeiten gg verb UN;-;-;
166002;Verbindlichkeiten gg verb UN;-;-;
167601;Verb.Gesellsch.P.Gr.lfd.Gesch.;-;-;
167602;Verb.Gesellsch.P.Gr.lfd.Gesch.;-;-;
170001;Schuldwechsel;-;-;
170002;Schuldwechsel;-;-;
170901;Einfinanz.Lagerw.4700057908;-;-;
170902;Einfinanz.Lagerw.4700057908;-;-;
171001;Lagerwagenfinanzierung Opel Bank;-;-;
171002;Lagerwagenfinanzierung Opel Bank;-;-;
171201;Lagerwagenfinanzierung PSA Bank;-;-;
171202;Lagerwagenfinanzierung PSA Bank;-;-;
171501;Lagerwagenfinanzierung Leapmotor;-;-;
171502;Lagerwagenfinanzierung Leapmotor;-;-;
171701;LW-Finanz.Santander Bank;-;-;
171702;LW-Finanz.Santander Bank;-;-;
172001;Lagerwagenfinanz. Sant.B. HYU;-;-;
172002;Lagerwagenfinanz. Sant.B. HYU;-;-;
180001;Anzahlungen von Kunden;-;-;
180002;Anzahlungen von Kunden;-;-;
180101;GWST-Rückstellung;-;-;
180102;GWST-Rückstellung;-;-;
181001;Rückst.Überstunden;-;-;
181002;Rückst.Überstunden;-;-;
181101;Verbindl.Auffrischbonus;-;-;
181102;Verbindl.Auffrischbonus;-;-;
181501;Verbindl für GW-Garantien;-;-;
181502;Verbindl für GW-Garantien;-;-;
181601;TÜV Durchl.;-;-;
181602;TÜV Durchl.;-;-;
182001;Abgr für Gratifikationen;-;-;
182002;Abgr für Gratifikationen;-;-;
182101;Rückst für Urlaubslohn/-geld;-;-;
182102;Rückst für Urlaubslohn/-geld;-;-;
182201;Abgrenzungen für Zinsen;-;-;
182202;Abgrenzungen für Zinsen;-;-;
182301;Rückst für Gewerbesteuer;-;-;
182302;Rückst für Gewerbesteuer;-;-;
182401;Rückst für Darlehenszinsen;-;-;
182402;Rückst für Darlehenszinsen;-;-;
182501;Abgr für Anzeigenwerbung;-;-;
182502;Abgr für Anzeigenwerbung;-;-;
182601;Abgr für Werbegeschenke;-;-;
182602;Abgr für Werbegeschenke;-;-;
182701;Abgr f Schwerbehindertenausgl;-;-;
182702;Abgr f Schwerbehindertenausgl;-;-;
182801;Abgr für Strom, Gas, Wasser;-;-;
182802;Abgr für Strom, Gas, Wasser;-;-;
182901;Sonstige kurzfristige Verbindl;-;-;
182902;Sonstige kurzfristige Verbindl;-;-;
183001;Rückst für Betriebsst. Vorjh.;-;-;
183002;Rückst für Betriebsst. Vorjh.;-;-;
183101;Sonst.Rückst.Leasing-Rückläuf.;-;-;
183102;Sonst.Rückst.Leasing-Rückläuf.;-;-;
183201;Datenverarbeitung;-;-;
183202;Datenverarbeitung;-;-;
183501;Rückst f Rechts- u Beratungsk.;-;-;
183502;Rückst f Rechts- u Beratungsk.;-;-;
184001;Durchlfd Posten Verbindlichk.;-;-;
184002;Durchlfd Posten Verbindlichk.;-;-;
184101;Durchl.VKH an AOV;-;-;
184102;Durchl.VKH an AOV;-;-;
185001;Abzuführende Lohnsteuer;-;-;
185002;Abzuführende Lohnsteuer;-;-;
185201;Abzuführende Kirchensteuer;-;-;
185202;Abzuführende Kirchensteuer;-;-;
186001;Abzuf Sozialvers.beiträge;-;-;
186002;Abzuf Sozialvers.beiträge;-;-;
186101;Abzuführende VWL;-;-;
186102;Abzuführende VWL;-;-;
186301;Abzuführende sonstige Beträge;-;-;
186302;Abzuführende sonstige Beträge;-;-;
187001;zu zahlende Personalkosten;-;-;
187002;zu zahlende Personalkosten;-;-;
187101;Abzuf.Berufsgen.beiträge;-;-;
187102;Abzuf.Berufsgen.beiträge;-;-;
187501;Lohnausgleichskonto;-;-;
187502;Lohnausgleichskonto;-;-;
188101;MWST-Kürzung Berlin;-;-;
188102;MWST-Kürzung Berlin;-;-;
188201;Mehrwertsteuer Altteile;-;-;
188202;Mehrwertsteuer Altteile;-;-;
188301;AT Steuer 19%;-;-;
188302;AT Steuer 19%;-;-;
188401;Mehrwertsteuer 5 %;-;-;
188402;Mehrwertsteuer 5 %;-;-;
188501;Mehrwertsteuer 16%;-;-;
188502;Mehrwertsteuer 16%;-;-;
188601;Mehrwertsteuer  7%;-;-;
188602;Mehrwertsteuer  7%;-;-;
188701;Mehrwertsteuer 19%;-;-;
188702;Mehrwertsteuer 19%;-;-;
188801;Mehrwertsteuer  %;-;-;
188802;Mehrwertsteuer  %;-;-;
188901;Abzuf MWST (Zahllast);-;-;
188902;Abzuf MWST (Zahllast);-;-;
190001;Entnahmen Peter Greiner;-;-;
190002;Entnahmen Peter Greiner;-;-;
190101;Entnahmen Florian Greiner;-;-;
190102;Entnahmen Florian Greiner;-;-;
190901;Priv.Nutzungsanteile;-;-;
190902;Priv.Nutzungsanteile;-;-;
191001;Steuern Peter Greiner;-;-;
191002;Steuern Peter Greiner;-;-;
191101;Steuern Florian Greiner;-;-;
191102;Steuern Florian Greiner;-;-;
191901;Kap.St.u.Sol.Zuschlag;-;-;
191902;Kap.St.u.Sol.Zuschlag;-;-;
192001;Sond.Ausgaben Peter Greiner;-;-;
192002;Sond.Ausgaben Peter Greiner;-;-;
192101;Sond.Ausgaben Florian Greiner;-;-;
192102;Sond.Ausgaben Florian Greiner;-;-;
192901;Spenden;-;-;
192902;Spenden;-;-;
193001;Ent./Einn.SBV Peter Greiner;-;-;
193002;Ent./Einn.SBV Peter Greiner;-;-;
199991;Summe Finanz- u. Umlaufvermöge;-;-;
199992;Summe Finanz- u. Umlaufvermöge;-;-;
200011;Neutrales Ergebnis;-;-;
200012;Neutrales Ergebnis;-;-;
201001;Verluste aus Schadensfällen;-;-;
201002;Verluste aus Schadensfällen;-;-;
202001;Abschreibungen von Forderungen;-;-;
202002;Abschreibungen von Forderungen;-;-;
202101;Abschreib von Ford alte MwSt.;-;-;
202102;Abschreib von Ford alte MwSt.;-;-;
209001;Periodenfremde u sonst. Aufwdg;-;-;
209002;Periodenfremde u sonst. Aufwdg;-;-;
209401;Aufwdg aus Umrechnungsdiff;-;-;
209402;Aufwdg aus Umrechnungsdiff;-;-;
209501;Verluste aus Anlagenabgängen;-;-;
209502;Verluste aus Anlagenabgängen;-;-;
209701;Restbw.Anlvk.(Aufwand);-;-;
209702;Restbw.Anlvk.(Aufwand);-;-;
209801;Außerordentliche Aufwendungen;-;-;
209802;Außerordentliche Aufwendungen;-;-;
209901;Aufwendg.Kreditk.gebühren;-;-;
209902;Aufwendg.Kreditk.gebühren;-;-;
212001;Eingang abgeschriebener Ford;-;-;
212002;Eingang abgeschriebener Ford;-;-;
212101;Eing abgeschr Ford. alte MwSt;-;-;
212102;Eing abgeschr Ford. alte MwSt;-;-;
219001;Periodenfr und sonst Erträge;-;-;
219002;Periodenfr und sonst Erträge;-;-;
219051;Ertrag aus Anpassung HB an Steuerbilanz;-;-;
219052;Ertrag aus Anpassung HB an Steuerbilanz;-;-;
219101;Sonst.Erträge ustfrei;-;-;
219102;Sonst.Erträge ustfrei;-;-;
219201;Ertr.a.Zuschr.zu Gegenst.AV;-;-;
219202;Ertr.a.Zuschr.zu Gegenst.AV;-;-;
219301;Erträge aus Beteiligungen;-;-;
219401;Erträge aus Umrechnungsdiff;-;-;
219402;Erträge aus Umrechnungsdiff;-;-;
219501;Erträge aus Anlagenabgänge;-;-;
219502;Erträge aus Anlagenabgänge;-;-;
219801;Außerordentliche Erträge;-;-;
219802;Außerordentliche Erträge;-;-;
219901;Außerordentl.Erträge steuerfr.;-;-;
219902;Außerordentl.Erträge steuerfr.;-;-;
220001;Instands von Grundst. und Gebd;-;-;
220002;Instands von Grundst. und Gebd;-;-;
220201;Steuern für Grundst. und Gebd;-;-;
220202;Steuern für Grundst. und Gebd;-;-;
220301;Umsatzsteuer Vorjahre;-;-;
220401;Abschreibungen von Gebäuden;-;-;
220402;Abschreibungen von Gebäuden;-;-;
220501;Versicherungen für Gebäude;-;-;
220502;Versicherungen für Gebäude;-;-;
221001;Miet- und Pachteinnahmen;-;-;
221002;Miet- und Pachteinnahmen;-;-;
230011;Zinsen für Lagerwg NW Opel;-;-;
230012;Zinsen für Lagerwg NW Opel;-;-;
230101;Zinsen für Lagerwg.GW;-;-;
230102;Zinsen für Lagerwg.GW;-;-;
230111;Zinsen für Lagerwg NW Saab;-;-;
230112;Zinsen für Lagerwg NW Saab;-;-;
230211;Z. f Lagerwg NW Chevro;-;-;
230212;Z. f Lagerwg NW Chevro;-;-;
230311;Zinsen für Lagerwg Vorführwg.;-;-;
230312;Zinsen für Lagerwg Vorführwg.;-;-;
230421;Zinsen für Lagerwagen Sonst.;-;-;
230422;Zinsen für Lagerwagen Sonst.;-;-;
230471;Zinsen für Mietwagen;-;-;
230472;Zinsen für Mietwagen;-;-;
230511;Zinsverg für LWabsatzförd Opel;-;-;
230512;Zinsverg für LWabsatzförd Opel;-;-;
230611;Zinsverg  LWabsatzförd  Saab;-;-;
230612;Zinsverg  LWabsatzförd  Saab;-;-;
230711;Zinsverg f LWabsatzförd Chevro;-;-;
230712;Zinsverg f LWabsatzförd Chevro;-;-;
230811;Zinsverg f LWabsatzförd Sonst;-;-;
230812;Zinsverg f LWabsatzförd Sonst;-;-;
232001;Zinsaufwdg Ktokorrkredit;-;-;
232002;Zinsaufwdg Ktokorrkredit;-;-;
232101;Zinsen allg.Verteilg.;-;-;
232102;Zinsen allg.Verteilg.;-;-;
232701;Zinsen § 233 AO abzugsfähig;-;-;
232702;Zinsen § 233 AO abzugsfähig;-;-;
233001;Darlehens- u Hypothekenzinsen;-;-;
233002;Darlehens- u Hypothekenzinsen;-;-;
240001;Erträge aus Finanzierungen;-;-;
240002;Erträge aus Finanzierungen;-;-;
242001;Zinserträge (MwSt.-frei);-;-;
242002;Zinserträge (MwSt.-frei);-;-;
242101;Zinserträge (MwSt.-pfl.);-;-;
242102;Zinserträge (MwSt.-pfl.);-;-;
251001;Spenden;-;-;
251002;Spenden;-;-;
252001;Körperschaftssteuer;-;-;
252002;Körperschaftssteuer;-;-;
253001;Sonstige Steuern;-;-;
253002;Sonstige Steuern;-;-;
254601;Quellensteuer;-;-;
254602;Quellensteuer;-;-;
255001;Vermögenssteuer;-;-;
255002;Vermögenssteuer;-;-;
256101;Gewerbesteuer Vorjahre nicht abziehbar;-;-;
256102;Gewerbesteuer Vorjahre nicht abziehbar;-;-;
260001;Kassendifferenzen;-;-;
260002;Kassendifferenzen;-;-;
274001;Abschr von immat Anlageverm;-;-;
274002;Abschr von immat Anlageverm;-;-;
274201;Versicherungsentschädigungen und Schaden;-;-;
275001;Außerplanmäßige Abschreibungen;-;-;
275002;Außerplanmäßige Abschreibungen;-;-;
276001;frei;-;-;
276002;frei;-;-;
278001;Vers.Entschäd.u.Schadeners.;-;-;
278002;Vers.Entschäd.u.Schadeners.;-;-;
280001;Einkaufsskontokonto;-;-;
280002;Einkaufsskontokonto;-;-;
290001;WB für Forderungen;-;-;
290002;WB für Forderungen;-;-;
292001;Zuführung zu Rückstellungen;-;-;
292002;Zuführung zu Rückstellungen;-;-;
292101;Auflösung von Rückstellungen;-;-;
292102;Auflösung von Rückstellungen;-;-;
293001;Gewerbest Neutrales Ergebnis;-;-;
293002;Gewerbest Neutrales Ergebnis;-;-;
294001;Verr kalk Unternehmerlohn;-;-;
294002;Verr kalk Unternehmerlohn;-;-;
294101;Verr kalk Mietwert;-;-;
294102;Verr kalk Mietwert;-;-;
294201;Verr.kalk.Abschreibungen;-;-;
294202;Verr.kalk.Abschreibungen;-;-;
294301;Verr kalk Zinsen;-;-;
294302;Verr kalk Zinsen;-;-;
294401;Verr.kalk.AFA Rent;-;-;
294402;Verr.kalk.AFA Rent;-;-;
299001;Alteilewert Haben;-;-;
299002;Alteilewert Haben;-;-;
299101;Altteilewert Soll 16%;-;-;
